Table archaeological_layer_age
archlayer_idlocality;archlayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history
Abri I am Schulerloch;AH m;H;H-AS;51400;4500;4500;TL (thermoluminescence) dating;lithic burnt;1998;after Böhner 2008, tab. 31; Institute for archaeometry, Heidelberg; Sample AS, Inv.-Nr. 83H6-S2;Julia Lutz;01.10.2020;Julia Lutz  01.10.20;
Abri Pié Lombard;Middle Paleolithic;Gif;;73800;9600;9600;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 3 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Abri Pié Lombard;Middle Paleolithic;Gif;;67000;8100;8100;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 4 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Aghitu-3 Cave;AH VI;MAMS;MAMS-23057;27680;110;110;14C (radiocarbon) dating;bone;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VI;KIA;KIA-46655;30380;590;550;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VI;KIA;KIA-50267;31800;270;270;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VI;KIA;KIA-50266;31540;190;190;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VI;KIA;KIA-39641;30210;180;170;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VI;KIA;KIA-46657;30250;220;210;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VI;KIA;KIA-39643;28680;200;200;14C (radiocarbon) dating;bone;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VI;KIA;KIA-46656;30120;280;270;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VII;KIA;KIA-50272;33900;370;370;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VII;KIA;KIA-50269;34220;320;320;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VII;KIA;KIA-50271;33260;860;780;14C (radiocarbon) dating;bone;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VII;KIA;KIA-50268;30630;720;660;14C (radiocarbon) dating;bone;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VII;KIA;KIA-50274;32890;280;280;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VII;KIA;KIA-50273;31360;270;270;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
Aghitu-3 Cave;AH VII;KIA;KIA-50270;33600;470;470;14C (radiocarbon) dating;charcoal;;;Julia Lutz;12.10.2018;andrew  12.10.18; Julia Lutz  15.05.19;
