assemblage.name;assemblage.category;country_continent.continent;geological_stratigraphy.correlation;geological_stratigraphy.age_min;geological_stratigraphy.age_max;locality.idlocality;locality.x;locality.y
Abri Chadourne Unit C Archaeological Assemblage;organic tools, raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;30000;300000;Abri Chadourne;1.01614;44.936467;
Abri Chadourne Unit D Archaeological Assemblage;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;30000;300000;Abri Chadourne;1.01614;44.936467;
AH m assemblage;raw material, technology, typology;Europe;TL (thermoluminescence) dating;46900;55900;Abri I am Schulerloch;11.816944;48.927778;
AH o assemblage;raw material, technology, typology;Europe;TL (thermoluminescence) dating;46900;55900;Abri I am Schulerloch;11.816944;48.927778;
AH u assemblage;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology;55900;350000;Abri I am Schulerloch;11.816944;48.927778;
Abri Labattut Unit 2 Archaeological Assemblage;raw material, symbolic artifacts, technology, typology;Europe;archaeological (cultural) stratigraphy;25000;35000;Abri Labattut;1.100449;45.000359;
Abri Labattut Unit 3 Archaeological Assemblage;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;25000;35000;Abri Labattut;1.100449;45.000359;
Abri Pataud Eboulis 10/11 Archaeological Assemblage;raw material, technology, typology;Europe;geology;33150;34700;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 10/11 fauna;paleofauna;Europe;geology;33150;34700;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 11/12 Archaeological Assemblage;raw material, technology, typology;Europe;geology;31200;34900;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 11/12 fauna;paleofauna;Europe;geology;31200;34900;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 12/13 Archaeological Assemblage;raw material, technology, typology;Europe;geology;30500;35450;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 12/13 fauna;paleofauna;Europe;geology;30500;35450;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 13/14 Archaeological Assemblage;raw material, technology, typology;Europe;geology;33650;36450;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 13/14 fauna;paleofauna;Europe;geology;33650;36450;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 3/4 Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;14C (radiocarbon) dating;19800;27000;Abri Pataud;1.012781;44.936947;
