assemblage.name;assemblage.category;country_continent.continent;geological_stratigraphy.correlation;geological_stratigraphy.age_min;geological_stratigraphy.age_max;locality.idlocality;locality.x;locality.y
Furamoos_Neotoma_1228.5;plant remains;Europe;14C (radiocarbon) dating;71000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1230;plant remains;Europe;14C (radiocarbon) dating;71000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1234.5;plant remains;Europe;14C (radiocarbon) dating;71000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1239;plant remains;Europe;14C (radiocarbon) dating;71000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1244;plant remains;Europe;14C (radiocarbon) dating;71000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1249;plant remains;Europe;14C (radiocarbon) dating;71000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1258;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1263;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1274;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1282;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1289;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1295;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_130;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1300;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1305;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1310;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1319;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1325;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1331;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1337;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1342;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1347;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1352;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1356;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1359;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1366;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1370;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1375;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1377.5;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1380;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1381;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1382;plant remains;Europe;14C (radiocarbon) dating;116000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1393;plant remains;Europe;14C (radiocarbon) dating;116000;191000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_140;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1400;plant remains;Europe;14C (radiocarbon) dating;116000;191000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_1410;plant remains;Europe;14C (radiocarbon) dating;116000;191000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_150;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_160;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_170;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_180;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_190;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_20;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_200;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_210;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_220;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_230;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_240;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_250;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_260;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_265;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_270;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_275;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_280;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_285;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_290;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_295;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_30;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_308;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_310;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_312;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_315;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_317.5;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_320;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_323;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_326;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_331;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_336;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_340;plant remains;Europe;14C (radiocarbon) dating;11700;57000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_344;plant remains;Europe;14C (radiocarbon) dating;11700;57000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_350;plant remains;Europe;14C (radiocarbon) dating;11700;57000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_355;plant remains;Europe;14C (radiocarbon) dating;11700;57000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_360;plant remains;Europe;14C (radiocarbon) dating;11700;57000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_40;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_443;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_446.5;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_450;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_461;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_470;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_477.5;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_482;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_486.5;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_493;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_50;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_500;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_515;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_530;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_550;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_560;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_570;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_580;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_590;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_60;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_610;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_620;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_630;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_650;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_675;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_700;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_725;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_750;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_764;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_775;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_781;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_786;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_791;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_80;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_800;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_815;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_820;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_823;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_825;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_827;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_831;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_839;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_850;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_862;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_875;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_886;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_90;plant remains;Europe;14C (radiocarbon) dating;0;11700;Furamoos;9.55;47.983333;
Furamoos_Neotoma_900;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_915;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_930;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_940;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_950;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_960;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_970;plant remains;Europe;14C (radiocarbon) dating;57000;130000;Furamoos;9.55;47.983333;
Furamoos_Neotoma_980;plant remains;Europe;14C (radiocarbon) dating;71000;130000;Furamoos;9.55;47.983333;
Fuyan Cave layer 2 fauna;animal remains, paleofauna;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 01;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 02;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 03;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 04;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 05;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 06;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 07;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 08;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 09;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 10;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 11;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 12;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 13;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 14;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 15;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 16;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 17;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 18;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 19;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 20;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 21;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 22;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 23;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 24;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 25;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 26;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 27;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 28;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 29;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 30;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 31;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 32;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 33;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 34;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 35;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 36;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 37;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 38;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 39;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 40;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 41;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 42;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 43;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 44;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 45;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 46;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Fuyan Cave layer 2 human remains 47;human remains;Asia;U series (uranium-thorium) dating;82000;200000;Fuyan Cave;111.480333;25.65075;
Ga-Mohana Hill North DBSR Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating, archaeological (cultural) stratigraphy;91500;115500;Ga-Mohana Hill North;23.344033;-27.383502;
Gadeb fauna locality 8E;paleofauna;Africa;K/Ar (potassium-argon) dating, magnetostratigraphy, stratigraphy;700000;1480000;Gadeb;39.334;7.11;
Gadeb lithics locality 2A;raw material, technology, typology;Africa;K/Ar (potassium-argon) dating, magnetostratigraphy, stratigraphy;700000;1480000;Gadeb;39.334;7.11;
Gadeb lithics locality 2B;raw material, technology, typology;Africa;K/Ar (potassium-argon) dating, magnetostratigraphy, stratigraphy;700000;1480000;Gadeb;39.334;7.11;
Gadeb lithics locality 2C;raw material, technology, typology;Africa;K/Ar (potassium-argon) dating, magnetostratigraphy, stratigraphy;700000;1480000;Gadeb;39.334;7.11;
Gadeb lithics locality 2E;raw material, technology, typology;Africa;K/Ar (potassium-argon) dating, magnetostratigraphy, stratigraphy;700000;1480000;Gadeb;39.334;7.11;
Gadeb lithics locality 8A;raw material, technology, typology;Africa;K/Ar (potassium-argon) dating, magnetostratigraphy, stratigraphy;700000;1480000;Gadeb;39.334;7.11;
Gadeb lithics locality 8D;raw material, technology, typology;Africa;K/Ar (potassium-argon) dating, magnetostratigraphy, stratigraphy;700000;1480000;Gadeb;39.334;7.11;
Gadeb lithics locality 8E;raw material, technology, typology;Africa;K/Ar (potassium-argon) dating, magnetostratigraphy, stratigraphy;700000;1480000;Gadeb;39.334;7.11;
Gadeb lithics locality 8F;raw material, technology, typology;Africa;K/Ar (potassium-argon) dating, magnetostratigraphy, stratigraphy;700000;1480000;Gadeb;39.334;7.11;
Gademotta Area ETH-72-5 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, stratigraphy;30000;105000;Gademotta Area;38.6457806;7.94565;
Gademotta Area ETH-72-6 Archaeological Assemblage;raw material, technology, typology;Africa;stratigraphy;98800;288000;Gademotta Area;38.6457806;7.94565;
Gademotta Area ETH-72-7B Layer I Archaeological Assemblage;raw material, technology, typology;Africa;stratigraphy;98800;288000;Gademotta Area;38.6457806;7.94565;
Gademotta Area ETH-72-7B Layer II Archaeological Assemblage;raw material, technology, typology;Africa;stratigraphy;98800;288000;Gademotta Area;38.6457806;7.94565;
Gademotta Area ETH-72-8B Archaeological Assemblage;raw material, technology, typology;Africa;stratigraphy;269000;1300000;Gademotta Area;38.6457806;7.94565;
Gademotta Area GDM7 Archaeolgocial Assemblage;raw material, technology, typology;Africa;stratigraphy;269000;1300000;Gademotta Area;38.6457806;7.94565;
TGII Assemblage;raw material, technology, typology;Europe;ESR (electron spin resonance) dating, TL (thermoluminescence) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;250000;598000;Galería;-3.5197611;42.3514444;
TGIII Assemblage;raw material, technology, typology;Europe;IRSL (infrared stimulated luminescence) dating, TL (thermoluminescence) dating, archaeological (cultural) stratigraphy;182000;350000;Galería;-3.5197611;42.3514444;
1;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
10;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
11;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
12;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
13;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
14;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
15;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
16;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
17;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
18;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
19;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
2;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
20;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
21;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
22;plant remains;Asia;mollusc biostratigraphy;1800000;2700000;Galidzga-Pokveshi;41.563261;42.800653;
3;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
4;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
5;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
6;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
7;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
8;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
9;plant remains;Asia;mollusc biostratigraphy;2700000;5600000;Galidzga-Pokveshi;41.563261;42.800653;
Ganj Par Acheulean Surface Collection;raw material, technology, typology;Asia;archaeological (cultural) stratigraphy;250000;1500000;Ganj Par;49.4825;36.8939;
Ganovce Layer 11 Fauna;animal remains, paleofauna;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce Layer 12 Fauna;animal remains, paleofauna;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce Layer 14 Fauna;animal remains, paleofauna;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce Layer 16-18 Fauna;animal remains, paleofauna;Europe;biostratigraphy, geology;127000;150000;Ganovce;20.327;49.03;
Ganovce Layer 16-18 Fauna;animal remains, paleofauna;Europe;biostratigraphy, geology;127000;186000;Ganovce;20.327;49.03;
Ganovce Layer 2 Fauna;animal remains, paleofauna;Europe;biostratigraphy, geology;11700;28000;Ganovce;20.327;49.03;
Ganovce Layer 3 Fauna;animal remains, paleofauna;Europe;biostratigraphy, geology;28000;71000;Ganovce;20.327;49.03;
