Table assemblage_age
assemblage_idlocality;assemblage_idassemblage;assemblage_name;laboratory_idlaboratory;idassemblage_age;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history
Afontova Gora II;6;AG II human remains 3;UCIAMS;1508;UCIAMS-79661;13810;35;35;14C (radiocarbon) dating;unknown;0;;Lisa Schiersch;08.07.2022;Lisa Schiersch  08.07.22;
Amur River Basin AR19K;1;Human remain 1;BA;1446;BA-152200;16090;45;45;14C (radiocarbon) dating;bone;2021;17605-17301 calBCE;andrew;25.02.2022;andrew  25.02.22;
Amur River Basin AR33K;1;Human remain 1;BA;1447;BA-10197;29060;170;170;14C (radiocarbon) dating;bone;2021;32159-31169 calBCE;andrew;25.02.2022;andrew  25.02.22;
Apollo 11;5;Apollo 11 Layer G Archaeological Assemblage;;204;;66000;900;900;AAR (amino acid racemization) dating;ostrich eggshell;0;;Andreas Taller;11.11.2009;
Apollo 11;9;Apollo 11 Layer F Archaeological Assemblage;;215;;51700;800;800;AAR (amino acid racemization) dating;ostrich eggshell;0;;Andreas Taller;11.11.2009;
Apollo 11;9;Apollo 11 Layer F Archaeological Assemblage;;211;;55100;1500;1500;AAR (amino acid racemization) dating;ostrich eggshell;0;;Andreas Taller;11.11.2009;
Apollo 11;13;Apollo 11 Layer E Archaeological Assemblage;;222;;49600;2000;2000;AAR (amino acid racemization) dating;ostrich eggshell;0;;Andreas Taller;11.11.2009;
Arcy-sur-Cure - Grotte du Bison;14;Arcy-sur-Cure - Grotte du Bison Unit B Fauna;;1299;;24140;310;310;14C (radiocarbon) dating;bone;0;;Lennart Schäfer;12.12.2019;Lennart Schäfer  12.12.19;
Arcy-sur-Cure - Grotte du Bison;14;Arcy-sur-Cure - Grotte du Bison Unit B Fauna;;1300;;24140;310;310;14C (radiocarbon) dating;bone;0;;Lennart Schäfer;12.12.2019;Lennart Schäfer  12.12.19;
Arcy-sur-Cure - Grotte du Bison;16;Arcy-sur-Cure - Grotte du Bison Unit D Fauna;;1301;;33670;450;450;14C (radiocarbon) dating;bone;0;;Lennart Schäfer;12.12.2019;Lennart Schäfer  12.12.19;
Arcy-sur-Cure - Grotte du Bison;17;Arcy-sur-Cure - Grotte du Bison Unit I Fauna;;1302;;50000;;;14C (radiocarbon) dating;bone;0;;Lennart Schäfer;12.12.2019;Lennart Schäfer  12.12.19;
