Table geological_layer_age
geolayer_idlocality;geolayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history;
Grotte des Pigeons;Group E;;X1854;73500;5700;5700;OSL (optically stimulated thermoluminescence) dating;quartz;2007;;Matthias Göden;12.11.2012;Matthias Göden  12.11.12; Matthias Göden  12.11.12; Matthias Göden  12.11.12; Matthias Göden  12.11.12; Matthias Göden  12.11.12; Matthias Göden  12.11.12; Matthias Göden  12.11.12; Matthias Göden  12.11.12; Matthias Göden  12.11.12;
Grotte des Pigeons;Group E;;KO315;108700;5100;5100;TL (thermoluminescence) dating;quartz;2007;;Matthias Göden;01.06.2012;Matthias Göden; Matthias Göden  12.11.12;
Grotte des Pigeons;Group E;;KO314;70300;2800;2800;TL (thermoluminescence) dating;quartz;2007;;Matthias Göden;01.06.2012;Matthias Göden; Matthias Göden  12.11.12;
Grotte des Pigeons;Group F;;TF4;85400;1400;1400;U series (uranium-thorium) dating;calcite;;;maria;17.02.2015;maria  17.02.15;
Grotte des Pigeons;Group F;;TF7A;100200;1200;1200;U series (uranium-thorium) dating;speleothem;;cave pearl;andrew;17.02.2015;maria  17.02.15; andrew  06.06.19;
Grotte des Pigeons;Group F;;TF2A;96300;2700;2700;U series (uranium-thorium) dating;calcite;;;maria;17.02.2015;maria  17.02.15;
Grotte des Pigeons;Group F;;TF6;112700;2000;2000;U series (uranium-thorium) dating;calcite;;;maria;17.02.2015;maria  17.02.15;
Grotte des Pigeons;Group F;;TF5;104200;2300;2300;U series (uranium-thorium) dating;calcite;;;maria;17.02.2015;maria  17.02.15;
Grotte des Pigeons;Group F;;EH125;95100;600;600;U series (uranium-thorium) dating;carbonate;2007;;Matthias Göden;01.06.2012;Matthias Göden; Matthias Göden  12.11.12;
Grotte des Pigeons;Group F;;X1856;103800;9100;9100;OSL (optically stimulated thermoluminescence) dating;quartz;2007;;Matthias Göden;01.06.2012;Matthias Göden; Matthias Göden  12.11.12;
Grotte des Pigeons;Group F;;X2641;85500;8100;8100;OSL (optically stimulated thermoluminescence) dating;quartz;2007;;Matthias Göden;01.06.2012;Matthias Göden; Matthias Göden  12.11.12;
Grotte des Pigeons;Group F;;TF7B;101400;1400;1400;U series (uranium-thorium) dating;speleothem;;;maria;17.02.2015;maria  17.02.15;
Grotte des Pigeons;Group F;;TF2;94300;1500;1500;U series (uranium-thorium) dating;calcite;;;maria;17.02.2015;maria  17.02.15;
Grotte des Pigeons;Group F;;TF1;98400;2000;2000;U series (uranium-thorium) dating;calcite;;;maria;17.02.2015;maria  17.02.15;
Grotte des Pigeons;Group F;;TF7C;101000;1900;1900;U series (uranium-thorium) dating;speleothem;;;maria;17.02.2015;maria  17.02.15;
Grotte des Pigeons;Group F;;EH124;95400;900;900;U series (uranium-thorium) dating;carbonate;2007;;Matthias Göden;01.06.2012;Matthias Göden; Matthias Göden  12.11.12;
Grotte des Ramandils;Basal Sand;;;128000;15000;15000;ESR (electron spin resonance) dating;shell;1987;Yokoyama et al. 1987;Matthias Göden;18.05.2021;Matthias Göden  18.05.21;
Grotte des Ramandils;Basal Sand;;;133000;1000000;0;U series (uranium-thorium) dating;bone;1987;Yokoyama et al. 1987;Matthias Göden;18.05.2021;Matthias Göden  18.05.21;
Grotte des Ramandils;Basal Sand;;;192000;19000;19000;U series (uranium-thorium) dating;speleothem;1987;Yokoyama et al. 1987;Matthias Göden;18.05.2021;Matthias Göden  18.05.21;
Grotte des Ramandils;Basal Sand;;;188000;230000;59000;U series (uranium-thorium) dating;bone;1987;Yokoyama et al. 1987;Matthias Göden;18.05.2021;Matthias Göden  18.05.21;
Grotte des Ramandils;Basal Sand;;;217000;22000;22000;ESR (electron spin resonance) dating;shell;1987;Yokoyama et al. 1987;Matthias Göden;18.05.2021;Matthias Göden  18.05.21;
Grotte des Ramandils;Unit I;;RAM1401;77000;6000;6000;ESR (electron spin resonance) dating, U series (uranium-thorium) dating;tooth;2019;Rusch et al. 2019;Matthias Göden;18.05.2021;Matthias Göden  18.05.21;
Grotte des Ramandils;Unit III;;RAM1405;79000;7000;7000;ESR (electron spin resonance) dating, U series (uranium-thorium) dating;tooth;2019;Rusch et al. 2019;Matthias Göden;18.05.2021;Matthias Göden  18.05.21;
Grotte des Ramandils;Unit V;;RAM1403;94000;7000;7000;ESR (electron spin resonance) dating, U series (uranium-thorium) dating;tooth;2019;Rusch et al. 2019;Matthias Göden;18.05.2021;Matthias Göden  18.05.21;
Grotte du Lazaret;Unit C-I lower;;L89e;185000;17000;17000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-I lower;;L23ae;77000;7000;7000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-I upper;;L89e;185000;17000;17000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-I upper;;L23ae;77000;7000;7000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II lower;;L23e;130000;10000;10000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II lower;;L69e;171000;12000;12000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II lower;;L17e;126000;9000;9000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II lower;;L22e;153000;11000;11000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II lower;;L75e;160000;12000;12000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II upper;;F472e;192000;16000;16000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II upper;;E770e;126000;14000;14000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II upper;;E1334e;162000;11000;11000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II upper;;E1353e;158000;11000;11000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II upper;;F72e;187000;15000;15000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II upper;;F3396e;152000;14000;14000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-II upper;;F354e;205000;16000;16000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-III;;E696e;125000;13000;13000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-III;;E24e;120000;9000;9000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Lazaret;Unit C-III;;E565e;114000;10000;10000;ESR (electron spin resonance) dating;tooth;2009;material_dated: tooth enamel;Matthias Göden;09.12.2015;Matthias Göden  09.12.15;
Grotte du Vallonnet;complex I;Gif;;1380000;140000;140000;ESR (electron spin resonance) dating;calcite;1988;old date from end of 1980s. date from ESR line h1 sample SV 82-5;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex I;Gif;;1310000;160000;160000;ESR (electron spin resonance) dating;calcite;1988;old date from end of 1980s. date from ESR line BL sample SV 82-4 sommet;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex I;Gif;;1450000;190000;190000;ESR (electron spin resonance) dating;calcite;1988;old date from end of 1980s. date from ESR line h1 sample SV 82-4 sommet;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex I;HISPEC;;1220000;90000;90000;U series (uranium-lead) dating;calcite;2017;accroding to Michel et al. (2017) 1st mesurement sample PLI-H1;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex I;HISPEC;;1190000;70000;70000;U series (uranium-lead) dating;calcite;2017;according to Michel et al. (2017), 2nd mesurement sample PLI-H1;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex I;Gif;;1420000;170000;170000;ESR (electron spin resonance) dating;calcite;1988;old date from end of 1980s. date from ESR line BL sample SV 82-5;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex IV;HISPEC;;1170000;90000;90000;U series (uranium-lead) dating;calcite;2017;accroding to Michel et al. (2017) 2nd mesurement sample PLIV-M;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex IV;HISPEC;;1140000;150000;150000;U series (uranium-lead) dating;calcite;2017;accroding to Michel et al. (2017) 2nd mesurement sample VM3;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex IV;Gif;;830000;110000;110000;ESR (electron spin resonance) dating;calcite;1988;old date from end of 1980s. date from ESR line BL sample SV 87-7 sommet;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex IV;Gif;;930000;80000;80000;ESR (electron spin resonance) dating;calcite;1988;old date from end of 1980s. date from ESR line h1 sample SV 87-6 base;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex IV;HISPEC;;1180000;90000;90000;U series (uranium-lead) dating;calcite;2017;accroding to Michel et al. (2017) 1st mesurement sample PLIV-M;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex IV;HISPEC;;1130000;150000;150000;U series (uranium-lead) dating;calcite;2017;accroding to Michel et al. (2017) 1st mesurement sample VM3;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex IV;Gif;;980000;115000;115000;ESR (electron spin resonance) dating;calcite;1988;old date from end of 1980s. date from ESR line h1 sample SV 87-7 sommet;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grotte du Vallonnet;complex IV;Gif;;890000;80000;80000;ESR (electron spin resonance) dating;calcite;1988;old date from end of 1980s. date from ESR line BL sample SV 87-6 base;Klaus Herkert;08.04.2021;Klaus Herkert  08.04.21;
Grub-Kranawetberg;Layer 11;VERA;;26700;120;120;14C (radiocarbon) dating;charcoal;0;no analysis number provided;andrew;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 13;;BT-1014;47200;5000;5000;OSL (optically stimulated thermoluminescence) dating;sediment;0;;Sophie Habinger;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 13;;BT-1009;30200;3200;3200;OSL (optically stimulated thermoluminescence) dating;sediment;0;;Sophie Habinger;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 13;;BT-1014;40100;2700;2700;IRSL (infrared stimulated luminescence) dating;sediment;0;;Sophie Habinger;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 13;;BT-1009;28400;1900;1900;IRSL (infrared stimulated luminescence) dating;sediment;0;;Sophie Habinger;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 7;GrA;GrA-28185;25010;150;150;14C (radiocarbon) dating;charcoal;0;;andrew;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 7;GrA;GrA-28183;24780;140;140;14C (radiocarbon) dating;charcoal;0;;andrew;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 7;GrA;GrA-28184;25640;160;160;14C (radiocarbon) dating;charcoal;0;;andrew;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 9;VERA;VERA-364;25300;90;90;14C (radiocarbon) dating;charcoal;0;;andrew;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 9;GrA;GrA-9063;24620;230;230;14C (radiocarbon) dating;charcoal;0;;andrew;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 9;GrA;GrA-9065;24930;240;240;14C (radiocarbon) dating;charcoal;0;;andrew;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 9;GrA;GrA-9062;25220;250;250;14C (radiocarbon) dating;charcoal;0;;andrew;13.06.2017;Sophie Habinger  13.06.17;
Grub-Kranawetberg;Layer 9;GrA;GrA-9066;24830;230;230;14C (radiocarbon) dating;charcoal;0;;andrew;13.06.2017;Sophie Habinger  13.06.17;
Gruta da Aroeira;Flowstone;CENIEH;CENIEH-UTO276;32500;25700;25700;U series (uranium-thorium) dating;speleothem;2013;Sample Nr. ARO1-3; Upper part of flowstone capping the Pleistocene fill;Klaus Herkert;13.05.2022;Klaus Herkert  13.05.22;
Gruta da Aroeira;Flowstone;CENIEH;CENIEH-UTO214;45400;10400;10400;U series (uranium-thorium) dating;speleothem;2013;Sample Nr. ARO1-1; Basal part of flowstone capping the Pleistocene fill. minimum age of the underlying deposit;Klaus Herkert;13.05.2022;Klaus Herkert  13.05.22;
Gruta da Aroeira;Flowstone;CENIEH;CENIEH-UTO275;44800;2000;2000;U series (uranium-thorium) dating;speleothem;2013;Sample Nr. ARO1-2; Middle part of flowstone capping the Pleistocene fill;Klaus Herkert;13.05.2022;Klaus Herkert  13.05.22;
Gruta da Aroeira;Unit 2;EVA;UEVA 137;300000;6000;6000;U series (uranium-thorium) dating;calcite;2017;Sample Nr. ARO 14-03-1; Calcite crystals precipitated in sediment voids of layer X, Xb/c of Unit 2;Klaus Herkert;13.05.2022;Klaus Herkert  13.05.22;
Gruta da Aroeira;Unit 2;CENIEH;CENIEH-UTO212;326400;13400;13400;U series (uranium-thorium) dating;speleothem;2013;Sample Nr. ARO2-2; Upper part of flowstone capping the Acheulian layer X;Klaus Herkert;13.05.2022;Klaus Herkert  13.05.22;
Gruta da Aroeira;Unit 2;EVA;UEVA 139;236000;3000;3000;U series (uranium-thorium) dating;speleothem;2017;Sample Nr. ARO 14-H6-727-2;The outermost flowstone overgrowth formed post-depositionally at the interface between the Acheulian layer and the stalagmitic column buried by that layer. Sample from Unit 3 but giving the minimum age for Unit 2 layer X;Klaus Herkert;13.05.2022;Klaus Herkert  13.05.22;
Gruta da Aroeira;Unit 2;EVA;UEVA 138;307000;6000;6000;U series (uranium-thorium) dating;calcite;2017;Sample Nr. ARO 14-04-1; Calcite crystals precipitated in sediment voids of layer X, Xb/c of Unit 2;Klaus Herkert;13.05.2022;Klaus Herkert  13.05.22;
Gruta da Aroeira;Unit 2;CENIEH;CENIEH-UTO211;417700;37300;27500;U series (uranium-thorium) dating;speleothem;2013;Sample Nr. ARO2-1; Basal part of flowstone capping the Acheulian layer X. minimum age of the site’s Acheulian occupation;Klaus Herkert;13.05.2022;Klaus Herkert  13.05.22;
Gruta da Aroeira;Unit 2;EVA;UEVA 493;406000;34000;36000;U series (uranium-thorium) dating;speleothem;2017;Sample Nr. ARO 14-H6-727-3;The formation of the stalagmitic column predates the accumulation of the sediments containing the cranium, and its outer layer provides a terminus post quem for the fossil. Sample from Unit 3 but giving the maximum age for Unit 2 layer Xc;Klaus Herkert;13.05.2022;Klaus Herkert  13.05.22;
Gruta da Casa da Moura;lower deposits;TO;TO-1102;25090;220;220;14C (radiocarbon) dating;Bone;1988;;Klaus Herkert;09.11.2022;Klaus Herkert  09.11.22;
Gruta da Casa da Moura;upper deposits;;;5990;60;60;14C (radiocarbon) dating;Bone;1988;human remains from burial;Klaus Herkert;09.11.2022;Klaus Herkert  09.11.22;
Gruta da Figueira Brava;C. 1;;UTO 437;51872;1195;1195;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1107-2 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 1;EVA;UEVA 1731;52194;618;618;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1025-1 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 1;;UTO 436;28590;2085;2085;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1107-1 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 1;EVA;UEVA 1737;24308;837;837;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1025-9 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 2;OxA;OxA-19981;40380;340;340;14C (radiocarbon) dating;shell marine;2020;sample nr. FigBrav 5; material from 1980s excavation, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 2;ICEN;ICEN-387;30930;700;700;14C (radiocarbon) dating;shell marine;2000;;Lennart Schäfer;22.02.2022;Lennart Schäfer  22.02.22;
Gruta da Figueira Brava;C. 2;ICEN;lCEN - 387;30930;700;700;14C (radiocarbon) dating;shell marine;1989;old 14C date; according to Raposo & Cardoso 2000;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 2;CENIEH;;86100;6800;6800;OSL (optically stimulated thermoluminescence) dating;quartz;2020;sample nr. 12-1, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 2;ICEN;ICEN-386;30050;550;550;14C (radiocarbon) dating;shell marine;2000;;Lennart Schäfer;22.02.2022;Lennart Schäfer  22.02.22;
Gruta da Figueira Brava;C. 2;ICEN;ICEN - 386;30050;550;550;14C (radiocarbon) dating;shell marine;1989;old 14C date; according to Raposo & Cardoso 2000;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 2;CENIEH;;89300;6400;6400;OSL (optically stimulated thermoluminescence) dating;quartz;2020;sample nr. 12-2, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 2;OxA;OxA-19979;36420;240;240;14C (radiocarbon) dating;shell marine;2020;sample nr. FigBrav 2; material from 1980s excavation, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 2;OxA;OxA-19980;39750;400;400;14C (radiocarbon) dating;shell marine;2020;sample nr. FigBrav 4; material from 1980s excavation, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 2;OxA;OxA-19982;44900;500;500;14C (radiocarbon) dating;shell marine;2020;sample nr. FigBrav 6; material from 1980s excavation, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 2;OxA;OxA-19978;2677;28;28;14C (radiocarbon) dating;shell marine;2020;sample nr. FigBrav 1; material from 1980s excavation, showing recent admixture of material;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;C. 4;CENIEH;;110200;8300;8300;OSL (optically stimulated thermoluminescence) dating;quartz;2020;sample nr. 12-4, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IB1;;dlh 1206;107361;3929;3929;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1306-1 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IB1;;dlh 1207;150169;2072;2072;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1306-2 (bottom), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IB1;;dlh 1208;141513;1588;1588;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1306-3 (basal), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 770;28574;599;599;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1103-1 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 426;61853;1041;1041;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1104-2 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 771;52329;821;821;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1103-2 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 425;64873;957;957;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1104-1 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 209;57595;974;974;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1028-2 (middle), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;EVA;UEVA 1390;49608;526;526;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1303-3 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;EVA;UEVA 417;62890;1240;1240;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1105-3 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 208;60669;1308;1308;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1028-1 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 776;79400;2511;2511;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1207-6 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 428;63653;2261;2261;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1101-2 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 427;66484;778;778;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1101-1 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 431;47117;1545;1545;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1102-1 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;EVA;UEVA 1384;58851;862;862;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1303-1 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;dlh 1212;69232;926;926;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1305-1 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 432;67294;897;897;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1102-2 (base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;dlh 1213;55800;552;552;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1305-9 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO-433;6226;918;918;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1105-1 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;dlh 1029;28941;730;730;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1304-1 (IH1 base), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;dlh 1211;15764;863;863;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1304-3 (IH1 top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH1;;UTO 777;48162;1084;1084;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1207-4 (middle), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH5;EVA;UEVA 1725;87559;626;626;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1208-1, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH5;EVA;UEVA 1727;87797;649;649;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1208-3, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH5;EVA;UEVA 1729;87693;762;762;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1208-5, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH5;EVA;UEVA 1726;88924;688;688;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1208-2, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH5;EVA;UEVA 1728;88137;742;742;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1208-4, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH6;CENIEH;;95000;5300;5300;OSL (optically stimulated thermoluminescence) dating;quartz;2020;sample nr. 12-5, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH6;CENIEH;;93900;5600;5600;OSL (optically stimulated thermoluminescence) dating;quartz;2020;sample nr. 12-6, according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
Gruta da Figueira Brava;IH7;;dlh 1329;93590;2320;2320;U series (uranium-thorium) dating;speleothem;2020;sample nr. FB-1106-5 (top), according to Zilhao et al. 2020;Klaus Herkert;08.03.2022;Klaus Herkert  08.03.22;
