Table geological_layer_age
geolayer_idlocality;geolayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history;
Abri Pataud;Level 11;GrN;GrN-4326;32000;800;800;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 11;GrN;GrN-4309;32600;550;550;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 12;OxA;OxA-21672;34050;550;550;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 12;OxA;OxA-21671;34300;600;600;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 12;OxA;OxA-21670;33450;500;500;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 12;GrN;GrN-4719;33260;425;425;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 12;GrN;GrN-4327;33000;500;500;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 12;GrN;GrN-4310;31000;500;500;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 13;OxA;OxA-21599;34850;600;600;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 13;OxA;OxA-21600;34200;550;550;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 13;OxA;OxA-21598;34750;600;600;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 14;OxA;OxA-21596;34500;600;600;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 14;GrN;GrN-4610;33300;760;760;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 14;OxA;OxA-21578;35750;700;700;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 14;OxA;OxA-21597;35000;650;650;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 14;GrN;GrN-4507;34250;675;675;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 14;OxA;OxA-21579;35000;600;600;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 14;GrN;GrN-4720;33330;410;410;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 2;GrN;GrN-2115;20340;200;200;14C (radiocarbon) dating;bone;1963;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 2;GrN;GrN-2123;19780;170;170;14C (radiocarbon) dating;bone;1963;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 2;GrN;GrN-2081;20540;140;140;14C (radiocarbon) dating;bone;1963;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 2;GrN;GrN-1861;20780;170;170;14C (radiocarbon) dating;bone;1963;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 2;GrN;GrN-4230;20810;170;170;14C (radiocarbon) dating;bone;1967;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 2;GrN;GrN-1857;20960;220;220;14C (radiocarbon) dating;bone;1963;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 2;GrN;GrN-4231;21380;340;340;14C (radiocarbon) dating;bone;1967;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 2;GrN;GrN-1862;21940;250;250;14C (radiocarbon) dating;bone;1963;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 2;GrN;GrN-1885;19300;170;170;14C (radiocarbon) dating;bone;1963;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 2;OxA;OxA-162;22000;600;600;14C (radiocarbon) dating;bone;1987;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 2;GrN;GrN-3255;19650;300;300;14C (radiocarbon) dating;bone;1967;;Matthias Göden;02.10.2018;Matthias Göden  02.10.18;
Abri Pataud;Level 3;OxA;OxA-165;24440;740;740;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 3;GrN;GrN-4721;23010;170;170;14C (radiocarbon) dating;bone;1967;;Matthias Göden;05.10.2018;Matthias Göden  05.10.18;
Abri Pataud;Level 3;OxA;OxA-686;24500;600;600;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 3;OxA;OxA-599;21740;450;450;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 3;OxA;OxA-164;24250;750;750;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 3;OxA;OxA-163;23180;670;670;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 3;GrN;GrN-4506;22780;140;140;14C (radiocarbon) dating;bone;1967;;Matthias Göden;05.10.2018;Matthias Göden  05.10.18;
Abri Pataud;Level 3;GrN;GrN-1892;21540;160;160;14C (radiocarbon) dating;bone;1963;;Matthias Göden;05.10.2018;Matthias Göden  05.10.18;
Abri Pataud;Level 3;GrN;GrN-1864;18470;280;280;14C (radiocarbon) dating;bone;1963;;Matthias Göden;05.10.2018;Matthias Göden  05.10.18;
Abri Pataud;Level 4;OxA;;26900;1000;1000;14C (radiocarbon) dating;bone;1987;no analysis number;andrew;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 4;GrN;GrN-4280;27060;370;370;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 4;OxA;OxA-374;26300;900;900;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 4;OxA;OxA-167;26500;980;980;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;OxA;OxA-581;26000;1000;1000;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;GrN;GrN-4662;27660;260;260;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;GrN;GrN-4634;28150;225;225;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;OxA;OxA-169;28400;1100;1100;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;GrN;GrN-4477;26600;200;200;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;GrN;GrN-4631;21780;215;215;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;Ly;Ly-300;22000;1000;1000;14C (radiocarbon) dating;bone;1971;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;Ly;Ly-100;23800;800;800;14C (radiocarbon) dating;bone;1971;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;GrN;GrN-5009;23350;170;170;14C (radiocarbon) dating;bone;1972;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;GrN;GrN-5012;26050;310;310;14C (radiocarbon) dating;bone;1972;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;GX;GX-1371;25815;330;330;14C (radiocarbon) dating;bone;1973;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;OxA;OxA-2225-38;26780;280;280;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;OxA;OxA-21588;28250;280;280;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;OxA;OxA-21587;28150;290;290;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;OxA;OxA-21586;28230;290;290;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;GX;GX-1372;26340;450;450;14C (radiocarbon) dating;bone;1973;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;OxA;OxA-21858;28180;270;270;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;GX;GX-1370;27545;320;320;14C (radiocarbon) dating;bone;1973;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;GX;GX-1369;26720;460;460;14C (radiocarbon) dating;bone;1973;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;W;W-191;24000;1000;1000;14C (radiocarbon) dating;bone;1955;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 5;W;W-151;23600;800;800;14C (radiocarbon) dating;bone;1955;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 6;OxA;OxA-689;26600;800;800;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 6;OxA;OxA-21676;31250;400;400;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 6;OxA;OxA-582;24340;700;700;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 6;OxA;OxA-22778;31850;450;450;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 6;OxA;OxA-690;26600;800;800;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 6;OxA;OxA-21681;31200;400;400;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 6;OxA;OxA-688;19700;350;350;14C (radiocarbon) dating;bone;1987;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 7;OxA;OxA-21584;32400;450;450;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 7;GrN;GrN-3105;29300;450;450;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 7;GrN;GrN-4531;31800;310;310;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 7;GrN;GrN-3117;32800;450;450;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 7;GrN;GrN-3116;32900;700;700;14C (radiocarbon) dating;bone;1967;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 7;OxA;OxA-21583;32400;450;450;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 7;OxA;OxA-2276-20;32150;450;450;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 7;OxA;OxA-21680;32850;500;500;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 8;GrN;GrN-6163;31800;280;280;14C (radiocarbon) dating;bone;1977;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 8;OxA;OxA-2276-19;33050;500;500;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 8;OxA;OxA-21582;31300;400;400;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pataud;Level 9;OxA;OxA-21673;33400;500;500;14C (radiocarbon) dating;bone;2011;;Matthias Göden;08.10.2018;Matthias Göden  08.10.18;
Abri Pié Lombard;complex III;;;147000;10000;10000;ESR (electron spin resonance) dating, U series (uranium-thorium) dating;calcite;1982;dating from early 1980s on calcite crust underlying the Mousterian deposits  (Yokoyama et al. 1983);Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Abri Pié Lombard;complex III;;;130000;20000;20000;ESR (electron spin resonance) dating, U series (uranium-thorium) dating;calcite;1982;dating from early 1980s on calcite crust underlying the Mousterian deposits  (Yokoyama et al. 1983);Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Abri de Cro-Magnon;Unit I;Beta;Beta-157439;27680;270;270;14C (radiocarbon) dating;shell;2002;;andrew;27.09.2018;Matthias Göden  27.09.18; andrew  26.11.18;
Abri du Maras;Unit 5;MNHN;;90000;9000;9000;ESR (electron spin resonance) dating;tooth;2012;according to Richard et al 2015. dating some years before. sample nr. AM F6-47;Klaus Herkert;03.05.2021;Klaus Herkert  03.05.21;
Achenheim;Grand Lehm;;;72500;8700;8700;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Grand Lehm;;;68300;8000;8000;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Grand Lehm;;;83300;10400;10400;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
Achenheim;Grand Lehm;;;64900;6900;6900;TL (thermoluminescence) dating;sediment;1998;after Rousseau et al (1998). Unfortunately, there is no correlation with the fine sequence for the dates;Klaus Herkert;22.06.2020;Klaus Herkert  22.06.20;
