"","assemblage.name","assemblage.category","country_continent.continent","locality.idlocality","locality.x","locality.y","query_age_min","query_age_max"
"47","Abri Pataud Level 9 and Eboulis 9/10 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,32900,34150
"48","Abri Pataud Level 9 and Eboulis 9/10 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,32900,33900
"49","Abri Pataud Level 8 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,30900,33550
"50","Abri Pataud Level 8 and Eboulis 8/9 Archaeological Assemblage","feature, raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,30900,33900
"51","Abri Pataud Level 8 and Eboulis 8/9 Archaeological Assemblage","feature, raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,30900,33550
"52","Abri Pataud Level 7 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,28850,33350
"53","Abri Pataud Level 7 Upper Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,28850,33350
"54","Abri Pataud Level 7 Lower Archaeological Assemblage","feature, raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,28850,33350
"55","Abri Pataud Level 6 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,19350,32300
"56","Abri Pataud Level 6 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,19350,32300
"57","Abri Pataud Level 5 human remains 2","human remains","Europe","Abri Pataud",1.012781,44.936947,21000,29500
"58","Abri Pataud Level 2 human remains 8 (PX18)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"59","Abri Pataud Level 2 human remains 9 (PX19)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"60","Abri Pataud Level 3 Archaeological Assemblage","feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Pataud",1.012781,44.936947,18190,25100
"61","Abri Pataud Level 3 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,18190,25100
"62","Abri Pataud Level 4 Archaeological Assemblage","feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Pataud",1.012781,44.936947,25400,27900
